公司名稱,職務,相關年資(Y),現職年資(Y),月底薪(萬),Bonus (月),每月平均工時,加班頻率,爽度(1~5) 5最爽,Loading(5最重)
0,Legal,0.5,0,3.6,2,160,1,3,1
0,manager,0,1,5,2,40,1,5,3
二線,Senior Engineer,5,1,9.3,4,160,1,4,1
Ememory,Engineer,0,0,8,10,160,1,4,2
上加,Sales Agent,15,10,6.8,1.5,48,1,1,5
久聯,Purchasing Agent,1,1,4,4,180,1,3,3
凡,Sales,2,2,4,2,170,1,3,3
大大,Accounting,10,4,5.5,10,170,3,3,3
小公司,Data Scientist,1,1,4,0,160,1,1,1
小ic公司,Senior Analog IC Engineer,2,2,8,2,160,1,4,2
工業電腦,Marketing,6,1,5.5,1,220,5,2,4
不入流小豬屎屋,Finance Manager,2.5,2.5,7.7,0,160,1,4,3
不方便(非一線）,Analog IC Designer,8,2,14.5,2,180,2,3,4
Chailease Finance,Sales Agent,4.5,4.5,4,5,200,5,2,5
Compal,Marketing,0,1,3.2,0,160,2,3,3
天泰,Engineer,1,1,4.5,0,180,1,3,3
LOUIS YEN INTERNATIONAL,Sales Coordinator,3,1,3.1,0.5,176,1,1,4
LOUIS YEN INTERNATIONAL,Sales,3,1,3.1,0.5,176,1,1,4
Taiyo Yuden,Japanese Sales,1,1,4.1,4,40,3,3,2
WT Microelectronics,Sales,2,2,4.2,14,50,5,1,4
Billion Technology Enginerring,Project Consultant,5,1,5,8,160,5,4,5
比利時商,Project Finance,5,1,7,2,160,1,4,3
水處理科技,Marketing,1,1,4,0,42,1,2,4
代工廠,Legal,7,1,5,3,32,1,4,4
台元科技某二線,Field Application Engineer,11,11,13,27,200,3,2,4
台北小新創,UI/UX Designer,3,1,4.5,1,160,1,3,4
台帝公司,Finance Manager,7,1.5,7.7,3,180,3,5,4
台灣 2C 軟體,Data Analyst,3,1,8.5,1,186,1,4,4
外商,Contract Manager,4,1,7.5,4,180,1,4,3
外商,Data Analyst,2.5,1,8.9,1.5,80,1,5,2
外商封測廠,Sales,6,1,8.3,1,180,1,3,4
外商新創,Data Scientist,1,1,6.8,0,160,1,3,4
GEMTEK,Sales Manager,3,1,5,3,160,1,3,3
SINOPAC,Relationship Manager,3,3,6,4,160,2,3,3
生技,Legal,9,1.3,7.4,2,170,1,5,4
SAYA Network,Marketing,1.3,1.3,2.4,2.6,220,5,2,2
Roborock,Finance Manager,1.5,2,4.7,3,180,2,3,3
Roborock,UI/UX Designer,3,3,5.5,6,180,4,3,3
eCloudvalley,Account Manager,2.5,1,5,12,180,3,3,4
Megabank,Bank Clerk,6,6,3,4.6,210,5,3,4
TCB Bank,Transactor,8,1,5,7,150,3,2,4
HOBOT Technology,Marketing,6,2,4.9,4,200,1,4,3
Amway,Marketing,8,3,10,4.5,160,1,4,4
Syuhe,Administration Accounting Specialist,2,0,3.1,0,180,3,3,3
Subtron,Sales Manager,15,15,5,1,160,1,3,3
汐止遠雄家族企業小公司,R&D Engineer,2,3,4,1,160,1,3,1
Phison,Senior Engineer,7,7,11,8,180,1,2,2
Buddist Tzu Chi Medical Foundation,Assistant,8,1.5,3.7,1.8,165,3,2,4
系統廠,Legal,3,1.5,7,2,170,2,3,4
系統廠,manager,0,1,3.5,2,160,3,3,3
事務所,Lawyer,3,1.5,6.5,2,46,3,3,3
Pegatron,Planner,10,5,6,17,160,1,5,1
Himax,IC Layout Engineer,1.5,1.5,4.8,2,160,2,4,2
Panasonic,Software Engineer,1,1,4,7,170,5,3,2
法律事務所,Lawyer,1,1,6,1.5,200,5,2,3
iCatch,Firmware R&D Engineer,0.5,1,7.2,1,180,3,3,3
ASA tools,Product Designer,3,3,3.8,0,160,1,2,3
金融,Legal,8,3,10.5,5,160,1,4,2
非科技,承辦,5,5,6,0,160,1,2,4
非科技,Sales,5,5,6,0,160,1,2,4
非科技,Front Desk Attendant,5,6,6,0,40,1,2,4
非科技業,Legal,5,5,5.2,1.5,160,1,2,2
非科技業,Researcher,1,1,3.5,2400,160,1,4,2
非科技業,Data Analyst,4,1,4,1,160,1,4,3
非科技業,Data Scientist,0,0,5.5,2,165,1,3,3
保全,Finance Manager,4.5,2,9.4,2,180,1,4,2
信義某雲端公司,Account Manager,4,1,6.5,1,160,3,3,3
前三物流業,Accounting,5,5,4.4,11000,187,1,4,3
NPC,manager,3,3,5.2,3,180,3,2,3
某本土夕陽電商,Data Engineer,3,1,5.5,0,160,1,1,1
某眼睛小公司,Senior Analog IC Engineer,0,2,8,2,160,1,4,2
看結果,Legal,2,4,4,2,160,1,5,1
科技業設備,Sales,6,2,6,9,160,1,3,4
面板,Marketing,5,1,5,2,226,4,1,4
PixArt Imaging,Engineer,7,7,11,8,200,3,3,3
Canon,UI/UX Designer,4.5,4.5,4.4,2,800,1,4,2
家辦,Researcher,2,2,4.6,2,180,1,4,3
海x股份,Auditor,1,1,5,2,160,1,1,2
Singo,Sales Assistant,1.1,1.1,3.5,0,160,1,2,3
能源業,Legal,4,1,6,4,160,1,4,3
Edimax,Marketing,5,1,5,2,160,1,4,1
WebComm,Data Engineer,1,1,4.7,2,160,1,3,3
區域醫院,Attending Physician,6,2,6,22,176,5,3,3
區塊鏈,Marketing,2,1,5,2,120,2,3,2
國泰半導體,Sales Assistant Manager,8,6,15,8,40,1,5,1
Jetly,Sales Assistant,13,13,3.5,0,176,1,3,2
被動元件,Sales,3,2,6,7,70,5,1,2
Kdan Mobile,Legal,1,1,4.7,0,180,1,4,3
Infortrend,Marketing,5,5,4,1.5,160,1,4,2
Faraday,Engineer,7,7,8,6,160,1,5,3
期貨,Sales Assistant Manager,4,1,3.2,15,320,1,4,3
期貨公司,Sales Assistant Manager,3,1,3.2,15,320,1,4,3
傳產,Patent Engineer,8,3,6,2,160,1,2,5
傳產日商,Sales Executive,3,11,4,1,40,1,4,4
Deloitte & Touche,Auditor,0,1,4.2,2,210,5,1,5
Ogilvy,Marketing,2,0,3.5,0,240,5,1,4
微便宜,Engineer,1,1,8,2,160,1,3,3
